doctor_id,doctor_id,title,name,city1,city2,region,specialization,reviews,telemedicine,price
35,359129,Dr.,Gustavo Lages,Belo Horizonte,belo-horizonte,minas-gerais-mg,especialista-em-dor,5.0,0,450.0
36,683288,Dra.,Fernanda Peixoto Pinheiro Silva,Belo Horizonte,belo-horizonte,minas-gerais-mg,especialista-em-medicina-estetica,358.0,1,350.0
37,779780,,Kaisa Moura,Belo Horizonte,belo-horizonte,minas-gerais-mg,fonoaudiologo,20.0,1,0.0
38,251560,Dra.,Roberta Pinheiro Rodrigues,Belo Horizonte,belo-horizonte,minas-gerais-mg,fonoaudiologo,33.0,0,180.0
39,713854,Dra.,Anna Victoria Brum,Belo Horizonte,belo-horizonte,minas-gerais-mg,fisioterapeuta,48.0,0,170.0
40,777871,Dra.,Paula Diniz Martins Da Silva,Belo Horizonte,belo-horizonte,minas-gerais-mg,gastroenterologista-pediatrico,9.0,0,300.0
41,219722,Dra.,Melissa Machado Viana,Belo Horizonte,belo-horizonte,minas-gerais-mg,geneticista,25.0,1,550.0
42,776511,Dra.,Isabella Velloso,São João del Rei,sao-joao-del-rei,minas-gerais-mg,geriatra,5.0,0,370.0
43,505210,Dra.,Maria Angela Pinheiro,Montes Claros,montes-claros,minas-gerais-mg,geriatra,87.0,1,600.0
44,212509,Dr.,Luís Gustavo Oliveira,Varginha,varginha,minas-gerais-mg,geriatra,118.0,0,400.0
45,505568,Dr.,Galvani Salgado Agreli,Uberaba,uberaba,minas-gerais-mg,geriatra,98.0,0,400.0
46,424277,Dr.,José Mariano Melo Garcia,Belo Horizonte,belo-horizonte,minas-gerais-mg,medico-clinico-geral,22.0,1,550.0
47,79454,Dr.,Oswaldo Prado Cunha,Capelinha,capelinha,minas-gerais-mg,ginecologista,48.0,0,190.0
48,181409,Dr.,Leonardo Goodson Do Nascimento,Nova Lima,nova-lima,minas-gerais-mg,ginecologista,168.0,1,300.0
49,637195,Dra.,Andreia Moraes,Coronel Fabriciano,ipatinga,minas-gerais-mg,hematologista,52.0,1,350.0
50,775531,Dra.,Mariana De Oliveira Rezende,Belo Horizonte,belo-horizonte,minas-gerais-mg,hematologista-pediatrico,3.0,0,250.0
51,461886,Dr.,Guilherme Grossi Lopes Cançado,Belo Horizonte,belo-horizonte,minas-gerais-mg,gastroenterologista,53.0,0,380.0
52,349958,Dr.,Quelson Coelho,Belo Horizonte,belo-horizonte,minas-gerais-mg,gastroenterologista,278.0,0,550.0
53,141995,Dra.,Fernanda Maria Farage Osorio,Belo Horizonte,belo-horizonte,minas-gerais-mg,gastroenterologista,75.0,1,450.0
54,259417,Dr.,Guenael Freire,Belo Horizonte,belo-horizonte,minas-gerais-mg,infectologista,142.0,1,350.0
55,204606,Dr.,Marcio Rodrigues De Castro,Ipatinga,ipatinga,minas-gerais-mg,infectologista,94.0,1,350.0
56,722367,Dr.,Shinaider Rosa,Belo Horizonte,belo-horizonte,minas-gerais-mg,mastologista,332.0,1,400.0
57,42123,Dra.,Ilza Melo,Juiz de Fora,juiz-de-fora,minas-gerais-mg,neurologista,98.0,1,400.0
58,722549,Dr.,Fábio Freire,Varginha,varginha,minas-gerais-mg,ortopedista-traumatologista,269.0,0,150.0
59,728106,Dra.,Aniette Cabrera Bastos,Betim,juatuba,minas-gerais-mg,medico-de-familia,32.0,1,230.0
60,370153,Dra.,Jenniffer Laura Daltro Monteiro Da Silva,Belo Horizonte,belo-horizonte,minas-gerais-mg,oftalmologista,27.0,1,170.0
61,179243,Dra.,Michelle Souza,Patrocínio,patrocinio,minas-gerais-mg,endocrinologista,98.0,1,320.0
62,60444,Dra.,Ligia Oliveira Gonçalves Morganti,Belo Horizonte,belo-horizonte,minas-gerais-mg,otorrino,39.0,1,500.0
63,727561,Dr.,Marcelo Lopes Da Mota,João Monlevade,joao-monlevade,minas-gerais-mg,ortopedista-traumatologista,118.0,0,300.0
64,301471,Dr.,Carlos Frederico Pereira Prates,Belo Horizonte,belo-horizonte,minas-gerais-mg,homeopata,400.0,1,350.0
65,411723,Dr.,Andre Luis Cautella Navarro,Uberlândia,uberlandia,minas-gerais-mg,cardiologista,17.0,1,400.0
66,45142,Dr.,Roger Vieira,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-plastico,287.0,1,400.0
67,232676,Dra.,Deise Silva Barbosa,Belo Horizonte,belo-horizonte,minas-gerais-mg,psiquiatra,69.0,1,250.0
68,517249,Dr.,Tácito Tscherbakowski Mourão,Belo Horizonte,belo-horizonte,minas-gerais-mg,neurocirurgiao,69.0,0,500.0
69,759400,Dr.,Bernardo Aramuni,Belo Horizonte,belo-horizonte,minas-gerais-mg,neurocirurgiao,44.0,1,450.0
70,752746,Dr.,Ricardo Romeiro,Pouso Alegre,pouso-alegre,minas-gerais-mg,neurocirurgiao,50.0,0,300.0
71,765002,Dra.,Paula Grego,Belo Horizonte,belo-horizonte,minas-gerais-mg,nefrologista-pediatrico,7.0,0,300.0
72,418059,Dr.,Carlos Dumas Gomes,Três Corações,tres-coracoes,minas-gerais-mg,psiquiatra,8.0,1,300.0
73,198239,Dr.,Hebert Henrique Capuci,Uberaba,uberaba,minas-gerais-mg,nefrologista,138.0,1,300.0
74,388887,Dr.,Jair Domiciano Junior,Curvelo,curvelo,minas-gerais-mg,nefrologista,37.0,0,350.0
75,770027,Dr.,Nelson Jordao,Uberlândia,uberlandia,minas-gerais-mg,nefrologista,64.0,1,200.0
76,760753,Dra.,Gina Tanúria Guerra Da Cruz,Montes Claros,montes-claros,minas-gerais-mg,nefrologista,17.0,1,360.0
77,569844,Dra.,Erika Lopes Honorato,Uberlândia,uberlandia,minas-gerais-mg,neurologista,70.0,1,500.0
78,502266,Dr.,Tiago De Castro Mendes,Passos,passos,minas-gerais-mg,neurologista,15.0,0,400.0
79,749925,Dra.,Andresa Fialho,Belo Horizonte,belo-horizonte,minas-gerais-mg,ortodontista,15.0,1,800.0
80,765465,Dr.,Fernando Dumont,Betim,betim,minas-gerais-mg,dentista,25.0,0,120.0
81,694459,Dr.,Bruno Rezende De Araújo,Monte Alegre de Minas,monte-alegre-de-minas,minas-gerais-mg,ortopedista-traumatologista,138.0,1,600.0
82,85413,Dr.,Sávio De Parrode Pires,Bom Despacho,bom-despacho,minas-gerais-mg,otorrino,121.0,0,300.0
83,341404,Dra.,Kenia Assis Chaves,Juiz de Fora,juiz-de-fora,minas-gerais-mg,otorrino,224.0,1,200.0
84,514190,Dra.,Natalia Mello Do Vale,Bicas,bicas,minas-gerais-mg,otorrino,44.0,1,150.0
85,23268,Dr.,André Bicalho Lima,Belo Horizonte,belo-horizonte,minas-gerais-mg,pediatra,144.0,1,600.0
86,19811,Dra.,Tânia Antunes Carvalho,Belo Horizonte,belo-horizonte,minas-gerais-mg,pediatra,53.0,1,250.0
87,772584,Dra.,Priscilla Aryele Nascimento Campos,Belo Horizonte,belo-horizonte,minas-gerais-mg,pneumologista-pediatrico,29.0,1,250.0
88,45899,,Conceição Leite,Montes Claros,montes-claros,minas-gerais-mg,psicologo,44.0,1,180.0
89,383488,,Hayslam Nicacio,Belo Horizonte,belo-horizonte,minas-gerais-mg,psicologo,43.0,1,250.0
90,455935,,Wanderlúcio Nunes,Belo Horizonte,belo-horizonte,minas-gerais-mg,psicologo,45.0,1,150.0
91,630133,,Perciliana Pena,Uberlândia,uberlandia,minas-gerais-mg,psicopedagogo,48.0,1,150.0
92,363701,Dr.,Domingos Lopes Furtado,Divinópolis,belo-horizonte,minas-gerais-mg,psiquiatra,230.0,1,500.0
93,375904,Dr.,Eder Marcos,São Lourenço,rio-de-janeiro,minas-gerais-mg,fisioterapeuta,153.0,1,300.0
94,449732,Dra.,Fabiana Britto Goulart,Belo Horizonte,belo-horizonte,minas-gerais-mg,reumatologista,70.0,1,450.0
95,513409,Dr.,Renato Alvarenga Rezende,Belo Horizonte,belo-horizonte,minas-gerais-mg,reumatologista-pediatrico,39.0,0,350.0
96,305874,Dr.,Filipe Didier,Belo Horizonte,belo-horizonte,minas-gerais-mg,reumatologista,63.0,1,300.0
97,517998,Dra.,Vania Schinzel .,Juiz de Fora,juiz-de-fora,minas-gerais-mg,reumatologista-pediatrico,27.0,0,400.0
98,778729,,Tiago Caetano Martins,Uberaba,uberaba,minas-gerais-mg,terapeuta-complementar,10.0,1,150.0
99,705468,,Lorena Moreira,Belo Horizonte,belo-horizonte,minas-gerais-mg,terapeuta-complementar,42.0,1,130.0
100,436437,Prof.,Ricardo Peres,Belo Horizonte,belo-horizonte,minas-gerais-mg,terapeuta-complementar,109.0,0,280.0
101,663967,Dra.,Gabriela Cravo Soares Martins,Belo Horizonte,belo-horizonte,minas-gerais-mg,terapeuta-complementar,29.0,0,180.0
102,702300,Dr.,Marcos Augusto Soares Quitete,Governador Valadares,governador-valadares,minas-gerais-mg,alergista,459.0,1,400.0
103,649727,Dra.,Luciana Soares Amaral,Belo Horizonte,belo-horizonte,minas-gerais-mg,alergista-pediatrico,109.0,0,400.0
104,435328,Dr.,Tiago Nunes Guimarães,Belo Horizonte,belo-horizonte,minas-gerais-mg,alergista-pediatrico,23.0,0,350.0
105,574077,Dr.,Rodrigo Machado Saldanha,Juiz de Fora,juiz-de-fora,minas-gerais-mg,anestesiologista,72.0,1,300.0
106,203877,Dr.,Francisco Bravim,Belo Horizonte,belo-horizonte,minas-gerais-mg,especialista-em-dor,140.0,1,600.0
107,79810,Dr.,Zilmo Cesar Antunes Dourado,Pará de Minas,para-de-minas,minas-gerais-mg,medico-clinico-geral,35.0,0,200.0
108,63697,Dra.,Pollyana Cardoso Freire Cataldo,Belo Horizonte,belo-horizonte,minas-gerais-mg,angiologista,170.0,0,400.0
109,703304,Dr.,David Maciel De Sá Gurgel Bani,Muriaé,muriae,minas-gerais-mg,cardiologista,69.0,0,200.0
110,428387,Dra.,Maria Da Gloria Cruvinel Horta,Belo Horizonte,belo-horizonte,minas-gerais-mg,cardiologista-pediatrico,23.0,1,200.0
111,496692,Dr.,Gustavo Motta,Contagem,contagem,minas-gerais-mg,cirurgiao-buco-maxilo-facial,260.0,0,80.0
112,742222,Dr.,Daniel Ricaldoni,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-buco-maxilo-facial,64.0,1,100.0
113,236751,Dr.,Renato Braulio,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-cardiovascular,26.0,1,350.0
114,472845,Dr.,Igor Vitoi Cangussu,Juiz de Fora,juiz-de-fora,minas-gerais-mg,cirurgiao-geral,58.0,0,300.0
115,82690,Dr.,Pedro Hansen Monteiro De Paula,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-oncologico,32.0,1,500.0
116,708551,Dr.,Diogo Ramalho Tavares Marinho,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-pediatrico,50.0,0,250.0
117,498019,Dra.,Cintia Mundin Pena Veloso,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-plastico,213.0,1,300.0
118,208657,Dr.,Leonardo Francisco Da Costa,Uberlândia,uberlandia,minas-gerais-mg,cirurgiao-plastico,19.0,1,450.0
119,567096,Dr.,Rómmel Ribeiro,Juiz de Fora,juiz-de-fora,minas-gerais-mg,coloproctologista,109.0,1,300.0
120,695073,Dr.,Alan Cézar Faria Araújo,Belo Horizonte,belo-horizonte,minas-gerais-mg,coloproctologista,35.0,1,350.0
121,710085,Dr.,Maurilio Ramos Paiva,Lavras,oliveira,minas-gerais-mg,coloproctologista,133.0,0,330.0
122,762829,Dra.,Maria Tereza Fagundes Gomes,Montes Claros,montes-claros,minas-gerais-mg,dentista,35.0,1,200.0
123,741354,Dra.,Fernanda Barbosa,Uberlândia,uberlandia,minas-gerais-mg,dentista,51.0,1,80.0
124,181533,Dr.,Leonardo Jardim Vaz De Mello,São João del Rei,sao-joao-del-rei,minas-gerais-mg,neurologista,135.0,0,400.0
125,766887,Dr.,Túlio Henrique Ebaid Salem,Belo Horizonte,belo-horizonte,minas-gerais-mg,especialista-em-clinica-medica,14.0,0,300.0
126,722310,Dr.,Sander Luis Gomes Pimentel,Abre Campo,santa-margarida,minas-gerais-mg,cardiologista,57.0,1,250.0
127,89193,Dr.,Rodrigo Penzin Alves Martins,Belo Horizonte,belo-horizonte,minas-gerais-mg,endocrinologista,107.0,1,180.0
128,517545,Dr.,Alexandre De Tarso Machado,Juiz de Fora,juiz-de-fora,minas-gerais-mg,cirurgiao-vascular,46.0,1,250.0
129,598708,Dr.,Rodrigo Rezende De Albuquerque,Ponte Nova,ponte-nova,minas-gerais-mg,dentista,26.0,0,350.0
130,771143,Dra.,Kenia Soares Da Silveira Toledo,Paracatu,paracatu,minas-gerais-mg,ginecologista,62.0,1,400.0
131,216445,Dra.,Mariella Elisei,Varginha,varginha,minas-gerais-mg,dermatologista,64.0,1,300.0
132,510224,Dr.,Luiz Augusto Pereira Cabral,Leopoldina,leopoldina,minas-gerais-mg,gastroenterologista,23.0,0,260.0
133,770169,Dr.,Marcus Vinícius Gonçalves Moreira,Belo Horizonte,belo-horizonte,minas-gerais-mg,gastroenterologista-pediatrico,14.0,0,300.0
134,738265,Dra.,Cândida Amélia Marinho De Oliveira,Barbacena,sao-joao-del-rei,minas-gerais-mg,ginecologista,85.0,0,350.0
135,173671,Dra.,Thaís França De Araújo,Uberlândia,uberlandia,minas-gerais-mg,ginecologista,193.0,0,400.0
136,21376,Dra.,Rhaissa Carvalho Said Stancioli,Belo Horizonte,belo-horizonte,minas-gerais-mg,gastroenterologista,152.0,0,400.0
137,41323,Dr.,Marcos Mundim,Belo Horizonte,belo-horizonte,minas-gerais-mg,homeopata,92.0,1,500.0
138,147933,Dr.,Thales Onofri De Oliveira,Belo Horizonte,belo-horizonte,minas-gerais-mg,homeopata,91.0,0,400.0
139,759219,Dra.,Raquel Bandeira,Nova Lima,nova-lima,minas-gerais-mg,infectologista,57.0,1,400.0
140,489590,Dra.,Carolina Teixeira De Assis Lopes,Juiz de Fora,juiz-de-fora,minas-gerais-mg,mastologista,35.0,1,350.0
141,739778,Dra.,Luciana Horta,Belo Horizonte,belo-horizonte,minas-gerais-mg,mastologista,17.0,1,300.0
142,514314,Dra.,Mayne Cardoso Cani,Belo Horizonte,belo-horizonte,minas-gerais-mg,mastologista,241.0,0,300.0
143,353499,Dr.,Eliseu Felix Pereira Barros,Belo Horizonte,belo-horizonte,minas-gerais-mg,ortopedista-traumatologista,143.0,1,310.0
144,216291,Dr.,Júlio César Falaschi Costa,Poços de Caldas,pocos-de-caldas,minas-gerais-mg,ortopedista-traumatologista,282.0,0,100.0
145,507469,Dr.,Vinicius Vasconcelos Teodoro,Uberlândia,uberlandia,minas-gerais-mg,neurologista,103.0,0,400.0
146,398476,Dra.,Maria Vicentina Reis Couto,Nova Lima,nova-lima,minas-gerais-mg,ginecologista,61.0,0,200.0
147,441156,Dr.,Murilo De Oliveira Costa,Bom Despacho,bom-despacho,minas-gerais-mg,medico-clinico-geral,7.0,0,400.0
148,724424,Dr.,Tárcio Luis Azevedo De Oliveira,Nova Serrana,nova-serrana,minas-gerais-mg,nefrologista,38.0,1,330.0
149,693411,Dr.,Filipe Milagres,Barbacena,barbacena,minas-gerais-mg,neurologista,181.0,0,250.0
150,245627,Dra.,Gizelle Freitas,Uberlândia,uberlandia,minas-gerais-mg,nutrologo,94.0,0,550.0
151,659047,Dra.,Raquel Rocha De Almeida Dantas,Belo Horizonte,belo-horizonte,minas-gerais-mg,oftalmologista,65.0,1,360.0
152,380811,Dr.,Juliano Maia Duarte,Belo Horizonte,belo-horizonte,minas-gerais-mg,oncologista,39.0,1,250.0
153,713921,Dr.,Sandoval Lopo De Abreu,Belo Horizonte,belo-horizonte,minas-gerais-mg,otorrino,82.0,1,300.0
154,613482,Dra.,Bárbara Araujo Marques,Belo Horizonte,belo-horizonte,minas-gerais-mg,pediatra,33.0,1,400.0
155,762202,Dra.,Thaís Ferraz Fernandes,Belo Horizonte,belo-horizonte,minas-gerais-mg,pediatra,42.0,1,150.0
156,414928,Dr.,Celso Jose Cardoso Dilascio,Belo Horizonte,belo-horizonte,minas-gerais-mg,pneumologista,25.0,1,250.0
157,695602,Dra.,Akisa Penido,Belo Horizonte,belo-horizonte,minas-gerais-mg,pneumologista-pediatrico,56.0,1,200.0
158,776501,,Luciana Matos Moreira,Belo Horizonte,belo-horizonte,minas-gerais-mg,psicologo,14.0,1,120.0
159,430889,,Renata De Almeida Lommez,Belo Horizonte,belo-horizonte,minas-gerais-mg,psicologo,26.0,1,600.0
160,461093,Dr.,Diego Tinoco Rodrigues,Belo Horizonte,belo-horizonte,minas-gerais-mg,psiquiatra,356.0,1,450.0
161,744833,Dra.,Gisele Rodrigues,Pouso Alegre,sao-paulo,minas-gerais-mg,psiquiatra,20.0,1,400.0
162,473443,Dra.,Cynthia Guedes,Belo Horizonte,belo-horizonte,minas-gerais-mg,psiquiatra,107.0,1,700.0
163,136468,Dra.,Mariana Peixoto Guimarães U. E Silva Souza,Belo Horizonte,belo-horizonte,minas-gerais-mg,reumatologista,56.0,0,500.0
164,688792,,Carolina Braz,Belo Horizonte,belo-horizonte,minas-gerais-mg,psicologo,31.0,1,150.0
165,773903,,Isabella Cavalieri D'oro,Belo Horizonte,belo-horizonte,minas-gerais-mg,psicanalista,5.0,1,120.0
166,722802,Dr.,Sergio Silva De Mello,Belo Horizonte,belo-horizonte,minas-gerais-mg,especialista-em-dor,9.0,1,470.0
167,665674,Dr.,Henrique Lemos,Betim,betim,minas-gerais-mg,especialista-em-dor,8.0,1,200.0
168,340707,Dr.,Eymard Francisco Brito De Oliveira,Varginha,varginha,minas-gerais-mg,angiologista,162.0,0,500.0
169,760499,Dr.,Raphael Versiani,Passos,passos,minas-gerais-mg,cirurgiao-de-cabeca-e-pescoco,18.0,0,350.0
170,770187,Dr.,Wagner Thiago Alves Santos,Belo Horizonte,belo-horizonte,minas-gerais-mg,ortopedista-traumatologista,13.0,0,200.0
171,767524,Dra.,Tatiane Martins De Freitas Queiroz,Frutal,frutal,minas-gerais-mg,cirurgiao-do-aparelho-digestivo,42.0,1,300.0
172,229962,Dr.,André Bicalho,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-geral,19.0,0,250.0
173,756829,Dr.,Thiago Lazaroni,Betim,betim,minas-gerais-mg,cirurgiao-pediatrico,109.0,0,300.0
174,160831,Dr.,Breno Palmieri,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-toracico,61.0,1,400.0
175,698939,Dra.,Danielle Milani Bernardes,Poços de Caldas,pocos-de-caldas,minas-gerais-mg,cirurgiao-vascular,268.0,1,250.0
176,768252,Dra.,Fernanda Elias Ferreira Rabelo,Divinópolis,divinopolis,minas-gerais-mg,coloproctologista,56.0,1,500.0
177,179198,Dra.,Paula Cunha Zaidan,Uberlândia,uberlandia,minas-gerais-mg,endocrinologista-pediatrico,184.0,0,500.0
178,682556,Dr.,Anderson Correa Ribeiro,Uberaba,uberaba,minas-gerais-mg,cardiologista,79.0,1,250.0
179,756605,Dr.,Michell Rodrigues Araujo,Belo Horizonte,belo-horizonte,minas-gerais-mg,medico-de-familia,19.0,1,200.0
180,620916,Dra.,Sirley Andréia Amaral Tonussi,Carandaí,carandai,minas-gerais-mg,especialista-em-medicina-estetica,55.0,1,200.0
181,761252,Dra.,Angeline Rodrigues De Freitas Nomelini,Paracatu,paracatu,minas-gerais-mg,fonoaudiologo,11.0,0,280.0
182,139099,Dra.,Gabriella Guelber Miranda Carvalhais Barros Vieira,Belo Horizonte,belo-horizonte,minas-gerais-mg,pediatra,295.0,1,200.0
183,518009,Dr.,Victor Gaudencio Santos Caminhas,Belo Horizonte,belo-horizonte,minas-gerais-mg,gastroenterologista,111.0,0,250.0
184,403395,Dra.,Melissa Bianchetti Valentini,Belo Horizonte,belo-horizonte,minas-gerais-mg,infectologista,12.0,1,400.0
185,4035,Dr.,Aurelino Rocha Barbosa Junior,Divinópolis,divinopolis,minas-gerais-mg,medico-clinico-geral,61.0,0,250.0
186,513792,Dra.,Paula Cristina Ferreira,Belo Horizonte,belo-horizonte,minas-gerais-mg,pneumologista,31.0,0,300.0
187,776546,Dra.,Luiza Raksa Rezende,Belo Horizonte,belo-horizonte,minas-gerais-mg,nefrologista,12.0,0,180.0
188,766901,Dra.,Flávia Lage,Sete Lagoas,belo-horizonte,minas-gerais-mg,gastroenterologista,101.0,0,250.0
189,24533,Dr.,Joao Henrique Penna Reis,Belo Horizonte,belo-horizonte,minas-gerais-mg,mastologista,327.0,1,180.0
190,779400,Dra.,Meira Souza,Nova Lima,nova-lima,minas-gerais-mg,especialista-em-dor,34.0,0,200.0
191,682791,Dr.,Lucas Martins Silva,Uberaba,uberaba,minas-gerais-mg,cardiologista,47.0,0,300.0
192,382488,Dr.,Adriano Brito,Belo Horizonte,belo-horizonte,minas-gerais-mg,medico-de-familia,70.0,1,180.0
193,430591,Dra.,Fernanda Goncalves De Andrade,Passos,passos,minas-gerais-mg,neurocirurgiao,12.0,0,500.0
194,691062,Dr.,Victor Jordão,Uberlândia,uberlandia,minas-gerais-mg,nefrologista,21.0,1,400.0
195,667180,Dra.,Izabela Dayany França Feitosa,Divinópolis,belo-horizonte,minas-gerais-mg,neurologista,105.0,0,400.0
196,414382,Dr.,Marcelo Maroco Cruzeiro,Juiz de Fora,juiz-de-fora,minas-gerais-mg,neurologista,255.0,1,200.0
197,249480,Dra.,Patrícia Las Casas,Belo Horizonte,belo-horizonte,minas-gerais-mg,dentista,62.0,1,100.0
198,703106,Dra.,Larissa Valadares,Belo Horizonte,belo-horizonte,minas-gerais-mg,dentista,159.0,0,60.0
199,662233,Dr.,Ellias Lima,Belo Horizonte,belo-horizonte,minas-gerais-mg,oncologista,45.0,1,300.0
200,661341,Dr.,Alexandre Goncalves Sousa Lima,Montes Claros,montes-claros,minas-gerais-mg,ortopedista-traumatologista,87.0,0,300.0
201,725953,Dr.,Luis Paulo Vilela Lemos,Boa Esperança,boa-esperanca,minas-gerais-mg,ortopedista-traumatologista,51.0,1,350.0
202,355638,Dra.,Cristiane Rolim,Belo Horizonte,belo-horizonte,minas-gerais-mg,otorrino,736.0,0,200.0
203,448550,Dra.,Beatriz Silva Freire,Belo Horizonte,belo-horizonte,minas-gerais-mg,pediatra,171.0,0,300.0
204,196559,Dra.,Laura Gomes Machado,Belo Horizonte,belo-horizonte,minas-gerais-mg,pneumologista,48.0,0,200.0
205,774762,Dra.,Lourene Mireille Da Cruz Nobre,Belo Horizonte,belo-horizonte,minas-gerais-mg,pneumologista-pediatrico,25.0,0,250.0
206,708252,Dra.,Sandra De Castro Profeta,Belo Horizonte,belo-horizonte,minas-gerais-mg,alergista,134.0,0,400.0
207,690955,Prof.,Sandra Alvarenga,Uberlândia,uberlandia,minas-gerais-mg,podologista,0.0,0,95.0
208,709454,Dra.,Grazielle Castro,Belo Horizonte,belo-horizonte,minas-gerais-mg,podologista,0.0,0,80.0
209,756471,,Ana Paula Agostinho,Juiz de Fora,juiz-de-fora,minas-gerais-mg,podologista,0.0,0,95.0
